wyscout_team,wyscout_competition,opta_contestant_id,opta_team,opta_country,opta_league,match_method,match_score,rating,rank,review_status,notes
Eupen,Belgium. Challenger Pro League,9njsy633rh1tyri7l2jaju5o,Eupen,Belgium,Challenger Pro League,exact_name,100,71.411175975,1218,auto_confirmed,""
Excelsior Virton,Belgium. Challenger Pro League,3azhmz8ph0ei9qflbo7mrkw9d,Excelsior Virton,Belgium,Challenger Pro League,exact_name,100,68.9822753963,1583,auto_confirmed,""
Francs Borains,Belgium. Challenger Pro League,5g75yizfkepv8ez7027z9p5pd,Francs Borains,Belgium,Challenger Pro League,exact_name,100,69.5433457437,1495,auto_confirmed,""
Genk II,Belgium. Challenger Pro League,5vctyv2w431ao3bcfl7809w4,Genk II,Belgium,Challenger Pro League,exact_name,100,66.6483237141,2080,auto_confirmed,""
Gent II,Belgium. Challenger Pro League,bg64t5s9u3l44nlilrdh1oums,Gent II,Belgium,Challenger Pro League,exact_name,100,68.1475619458,1747,auto_confirmed,""
KSC Lokeren-Temse,Belgium. Challenger Pro League,"","","","",unmapped,,,,unmapped,""
Kortrijk,Belgium. Challenger Pro League,1uk609mhtsfhokhaewjapb26,Kortrijk,Belgium,First Division A,exact_name,100,78.1717535306,469,auto_confirmed,""
La Louvière,Belgium. Challenger Pro League,75b9wl3zixoytzcmvwavlp46i,RAAL La Louvière,Belgium,First Division A,exact_name,100,77.402788445,538,auto_confirmed,""
Lierse Kempenzonen,Belgium. Challenger Pro League,"","","","",unmapped,,,,unmapped,""
Liège,Belgium. Challenger Pro League,4xh8rj4z6innctbx7vu46tqix,Liège,Belgium,Challenger Pro League,exact_name,100,69.4708114338,1502,auto_confirmed,""
Lokeren-Temse,Belgium. Challenger Pro League,"","","","",unmapped,,,,unmapped,""
Lommel SK,Belgium. Challenger Pro League,30lkpynopz5r9obxg9f6glpqc,Lommel,Belgium,First Division A,exact_name,100,80.182829259,324,auto_confirmed,""
Olympic Charleroi,Belgium. Challenger Pro League,bg8usydd9rv3dh4ua95s1u1pc,Olympic Charleroi,Belgium,Division 1,exact_name,100,61.4718091525,3490,auto_confirmed,""
Oostende,Belgium. Challenger Pro League,"","","","",unmapped,,,,unmapped,""
Patro Eisden,Belgium. Challenger Pro League,cz6529flu1ynqzvmcwzu7ziyn,Patro Eisden,Belgium,Challenger Pro League,exact_name,100,70.988935479,1279,auto_confirmed,""
RFC Seraing,Belgium. Challenger Pro League,jb4xejoxjfk5a0a50bo8hvst,Seraing,Belgium,Challenger Pro League,exact_name,100,66.9188614808,2017,auto_confirmed,""
RWD Molenbeek,Belgium. Challenger Pro League,"","","","",unmapped,,,,unmapped,""
SK Beveren,Belgium. Challenger Pro League,ecakpwuj70mwiptbpd1i3xgzd,Beveren,Belgium,First Division A,exact_name,100,80.955053997,282,auto_confirmed,""
Sporting Hasselt,Belgium. Challenger Pro League,dh4rrq0v4e2ozf7e7yk9xxuxf,Sporting Hasselt,Belgium,Challenger Pro League,exact_name,100,67.996778144,1777,auto_confirmed,""
Standard Liège II,Belgium. Challenger Pro League,3uqlc9y1iwym6d6szxwsg3jmc,Standard Liège II,Belgium,Division 1,exact_name,100,57.4885732413,4774,auto_confirmed,""
Zulte-Waregem,Belgium. Challenger Pro League,547zzwqbiugzphhnrhj3z5k5i,Zulte Waregem,Belgium,First Division A,exact_name,100,82.0744207565,225,auto_confirmed,""
Anderlecht,Belgium. Pro League,6vyr13j6kbwdtxjwm1m4m8nu2,Anderlecht,Belgium,First Division A,exact_name,100,84.7452868514,114,auto_confirmed,""
Antwerp,Belgium. Pro League,7zibyotq1x1hq6pmgibhr0e6s,Antwerp,Belgium,First Division A,exact_name,100,80.3177689519,318,auto_confirmed,""
Beerschot VA,Belgium. Pro League,"","","","",unmapped,,,,unmapped,""
Cercle Brugge,Belgium. Pro League,3ix9om1svhd6obl0mbk1otgop,Cercle Brugge,Belgium,First Division A,exact_name,100,79.8689859689,342,auto_confirmed,""
Charleroi,Belgium. Pro League,920raeoumft3q2wmvc296uceo,Sporting Charleroi,Belgium,First Division A,exact_name,100,84.7449388179,115,auto_confirmed,""
Club Brugge,Belgium. Pro League,1oyb7oym5nwzny8vxf03szd2h,Club Brugge,Belgium,First Division A,exact_name,100,90.6254809524,30,auto_confirmed,""
Dender,Belgium. Pro League,4dtif7outbuivua8umbwegoo5,Dender,Belgium,Challenger Pro League,exact_name,100,75.6170630245,695,auto_confirmed,""
Eupen,Belgium. Pro League,9njsy633rh1tyri7l2jaju5o,Eupen,Belgium,Challenger Pro League,exact_name,100,71.411175975,1218,auto_confirmed,""
Genk,Belgium. Pro League,89xivtxk59uzvhdsd6miao6tm,Genk,Belgium,First Division A,exact_name,100,85.1427093243,99,auto_confirmed,""
Gent,Belgium. Pro League,8y3iucyxguipljcmf87a11bk9,Gent,Belgium,First Division A,exact_name,100,84.3290039801,123,auto_confirmed,""
Kortrijk,Belgium. Pro League,1uk609mhtsfhokhaewjapb26,Kortrijk,Belgium,First Division A,exact_name,100,78.1717535306,469,auto_confirmed,""
La Louvière,Belgium. Pro League,75b9wl3zixoytzcmvwavlp46i,RAAL La Louvière,Belgium,First Division A,exact_name,100,77.402788445,538,auto_confirmed,""
Lommel SK,Belgium. Pro League,30lkpynopz5r9obxg9f6glpqc,Lommel,Belgium,First Division A,exact_name,100,80.182829259,324,auto_confirmed,""
Mechelen,Belgium. Pro League,b7jmo07lqav0wfe2mtlzyspak,Mechelen,Belgium,First Division A,exact_name,100,78.9345287209,411,auto_confirmed,""
OH Leuven,Belgium. Pro League,bw9wm8pqfzcchumhiwdt2w15c,OH Leuven,Belgium,First Division A,exact_name,100,77.6607681014,515,auto_confirmed,""
Oostende,Belgium. Pro League,"","","","",unmapped,,,,unmapped,""
RFC Seraing,Belgium. Pro League,jb4xejoxjfk5a0a50bo8hvst,Seraing,Belgium,Challenger Pro League,exact_name,100,66.9188614808,2017,auto_confirmed,""
RWD Molenbeek,Belgium. Pro League,"","","","",unmapped,,,,unmapped,""
SK Beveren,Belgium. Pro League,ecakpwuj70mwiptbpd1i3xgzd,Beveren,Belgium,First Division A,exact_name,100,80.955053997,282,auto_confirmed,""
