wyscout_team,wyscout_competition,opta_contestant_id,opta_team,opta_country,opta_league,match_method,match_score,rating,rank,review_status,notes
FeralpiSalò,Italy. Serie C,"","","","",unmapped,,,,unmapped,""
Fermana,Italy. Serie C,36x1bj1489sc7bla7utiyhqm0,Fermana,Italy,Eccellenza,exact_name,100,55.0335756933,5601,auto_confirmed,""
Fidelis Andria,Italy. Serie C,6784gu1rgxn550g5oolezoq1h,Fidelis Andria,Italy,Serie D,exact_name,100,56.824247764,4981,auto_confirmed,""
Fiorenzuola,Italy. Serie C,ckhge1xc8j0q8mo5qhsviyuof,Fiorenzuola,Italy,Serie D,exact_name,100,53.0903124767,6345,auto_confirmed,""
Foggia,Italy. Serie C,4q4ais4vgw7h4m67ce40kfk2i,Foggia,Italy,Serie C,exact_name,100,60.0188965466,3925,auto_confirmed,""
Folgore Caratese,Italy. Serie C,dyqm90qn2ntm5hiuk2huu4izu,Folgore Caratese,Italy,Serie C,exact_name,100,61.5031283509,3480,auto_confirmed,""
Forlì,Italy. Serie C,dbpatgez3eb5i5y7gmgigjzb7,Forlì,Italy,Serie C,exact_name,100,62.8043224767,3100,auto_confirmed,""
GIANA Erminio,Italy. Serie C,8000d58fvjawxj34qvx6y8d9j,Giana Erminio,Italy,Serie C,exact_name,100,63.5538668277,2909,auto_confirmed,""
Gelbison,Italy. Serie C,1qet01qs8wqxuq18ky0smkoxz,Gelbison,Italy,Serie D,exact_name,100,59.2421230026,4171,auto_confirmed,""
Giugliano,Italy. Serie C,131kizo1ykcmppsn8rr9q5ivg,Giugliano,Italy,Serie C,exact_name,100,62.1666835776,3297,auto_confirmed,""
Grosseto,Italy. Serie C,9zab96m058yzsi0ggi12vk903,Grosseto,Italy,Serie C,exact_name,100,63.7362842837,2847,auto_confirmed,""
Gubbio,Italy. Serie C,ee0yza8gbalxlm1ywbba6ruoz,Gubbio,Italy,Serie C,exact_name,100,63.6705598578,2868,auto_confirmed,""
Guidonia Montecelio,Italy. Serie C,86yj1zphyvlxva9fixi8klm11,Guidonia Montecelio 1937,Italy,Serie C,fuzzy_country,88.37,62.7895534785,3105,needs_review,""
Imolese,Italy. Serie C,aqdfelm5wu2d9d84rja2z7czb,Imolese,Italy,Eccellenza,exact_name,100,55.0918643946,5586,auto_confirmed,""
Internazionale II,Italy. Serie C,9nlk57kpm8hrwvzwaroxmetck,Internazionale II,Italy,Serie C,exact_name,100,63.6688024879,2870,auto_confirmed,""
Juve Stabia,Italy. Serie C,70dnfqu9xoymenwusqduqarf7,Juve Stabia,Italy,Serie B,exact_name,100,75.5594125246,700,auto_confirmed,""
Juventus Next Gen,Italy. Serie C,dgn4bl2b9b8kpbbmc1udj5uui,Juventus II,Italy,Serie C,exact_name,100,63.9074379126,2797,auto_confirmed,""
Latina,Italy. Serie C,b70q3vll5yy6eou2cvsh47f84,Latina,Italy,Serie C,exact_name,100,64.0399216676,2749,auto_confirmed,""
Lecco,Italy. Serie C,eqwkibd0uruwlblzd2wax9zkp,Lecco,Italy,Serie C,exact_name,100,65.5162823532,2347,auto_confirmed,""
Legnago Salus,Italy. Serie C,45abx233etarl8op8unsnmciv,Legnago Salus,Italy,Serie D,exact_name,100,60.3316201429,3826,auto_confirmed,""
Livorno,Italy. Serie C,9tdy4ne1o1xnv3in80yobv9p6,Livorno,Italy,Serie C,exact_name,100,63.347175333,2957,auto_confirmed,""
Lucchese,Italy. Serie C,3olgcruz3jtfrkodl4k4ixleu,Lucchese,Italy,Serie D,exact_name,100,55.9382906778,5275,auto_confirmed,""
Lumezzane,Italy. Serie C,99gtq1rorxkm5jtewxiji8xw8,Lumezzane,Italy,Serie C,exact_name,100,64.3730218021,2645,auto_confirmed,""
Mantova,Italy. Serie C,r8fzkdrr5wh39uknwekrkr2,Mantova,Italy,Serie B,exact_name,100,76.2402911562,636,auto_confirmed,""
Messina,Italy. Serie C,esf8on74xt8j7rwtf91w0ggsk,Messina,Italy,Eccellenza,exact_name,100,54.3406560187,5853,auto_confirmed,""
Milan Futuro,Italy. Serie C,ek715qtl6pgjmf5pa7g9jbo5w,Milan II,Italy,Serie D,exact_name,100,60.3052098706,3835,auto_confirmed,""
Monopoli,Italy. Serie C,451thoi0fnoksl09485meju84,Monopoli,Italy,Serie C,exact_name,100,65.199892041,2422,auto_confirmed,""
Monterosi,Italy. Serie C,"","","","",unmapped,,,,unmapped,""
Montevarchi,Italy. Serie C,ei9wxo4btdos386a54jav1z12,Aquila Montevarchi,Italy,Serie D,exact_name,100,57.6254267023,4734,auto_confirmed,""
Novara,Italy. Serie C,apbdecpsr8xvivkvz1ctel7hx,Novara,Italy,Serie C,exact_name,100,63.8540200121,2815,auto_confirmed,""
Olbia,Italy. Serie C,eh2k7l9mnhprc65rtazuv6ql9,Olbia,Italy,"",exact_name,100,54.5720288167,5767,auto_confirmed,""
Ospitaletto,Italy. Serie C,p9jbj4ijcdw28tjxfhw60ys4,Ospitaletto,Italy,Serie C,exact_name,100,64.2535624134,2687,auto_confirmed,""
Ostia Mare Lidocalcio,Italy. Serie C,a1hmi9t87kkt6fbrlfcclsi8f,Ostiamare,Italy,Serie C,fuzzy_country,97.67,62.7874436118,3106,needs_review,""
Padova,Italy. Serie C,ddc6ajk7e7emztd1oymfz11zz,Padova,Italy,Serie B,exact_name,100,73.7043501749,922,auto_confirmed,""
Pergolettese,Italy. Serie C,djar8cuo1h3vsypfmzry2o3bn,Pergolettese,Italy,Serie C,exact_name,100,62.2880388513,3259,auto_confirmed,""
Perugia,Italy. Serie C,60gjrw8umdjqn8tp31d1nfwye,Perugia,Italy,Serie C,exact_name,100,62.303515453,3248,auto_confirmed,""
Pescara,Italy. Serie C,13x31xf866impd8gbjf6a05g3,Pescara,Italy,Serie C,exact_name,100,66.2520978908,2172,auto_confirmed,""
Piacenza,Italy. Serie C,9l69mqtko8fve457lnri65neg,Piacenza,Italy,Serie D,exact_name,100,62.3344682548,3240,auto_confirmed,""
Pianese,Italy. Serie C,8ca6gemvnp931nmvoz46dh6q8,Pianese,Italy,Serie C,exact_name,100,64.2988876186,2668,auto_confirmed,""
Picerno,Italy. Serie C,3lxf0xssqu5zfulvawbc5bh7t,Picerno,Italy,Serie C,exact_name,100,64.270779095,2682,auto_confirmed,""
Pineto,Italy. Serie C,cukfm3zh91hh9zpmzattj81yd,Pineto,Italy,Serie C,exact_name,100,63.8027092502,2833,auto_confirmed,""
Pontedera,Italy. Serie C,cb8aprpt0iwgfwjjr9ybjyi2w,Pontedera,Italy,Serie D,exact_name,100,55.5180832298,5424,auto_confirmed,""
Pordenone,Italy. Serie C,99blpophgkvmq1snukwado5ck,Nuovo Pordenone,Italy,Eccellenza,exact_name,100,55.7438438283,5344,auto_confirmed,""
Potenza,Italy. Serie C,76dsxvtz0wjgh18pqwx83bok5,Potenza,Italy,Serie C,exact_name,100,67.5545290732,1868,auto_confirmed,""
Pro Patria,Italy. Serie C,8at7k8ywdtk5yl21suqii0ft0,Pro Patria,Italy,Serie D,exact_name,100,59.5338509083,4083,auto_confirmed,""
Pro Sesto,Italy. Serie C,bmvyw86yq9zvwlxhjdgrqj2ad,Pro Sesto,Italy,Serie D,exact_name,100,60.2685869578,3847,auto_confirmed,""
Pro Vercelli,Italy. Serie C,e31jthlv0f3mvvhude3fb6to6,Pro Vercelli,Italy,Serie C,exact_name,100,60.7245573914,3718,auto_confirmed,""
Ravenna,Italy. Serie C,43oa2be1ho1w13j67ejlrjcgl,Ravenna,Italy,Serie C,exact_name,100,68.6580374108,1657,auto_confirmed,""
Recanatese,Italy. Serie C,1esw6wyi57xy5zohifca27z2h,Recanatese,Italy,Serie D,exact_name,100,55.0486603112,5597,auto_confirmed,""
Reggiana,Italy. Serie C,fdzmkrqxu2s0x9cioolazpy,Reggiana,Italy,Serie C,exact_name,100,67.5313792629,1876,auto_confirmed,""
Renate,Italy. Serie C,4j7z48xwomb2hx8ojk3h6hr0r,Renate,Italy,Serie C,exact_name,100,64.8110908836,2510,auto_confirmed,""
Rimini,Italy. Serie C,92wuohg21k9uckhku9tnku9y9,Rimini,Italy,Eccellenza,exact_name,100,53.9369867594,6021,auto_confirmed,""
SPAL,Italy. Serie C,"","","","",unmapped,,,,unmapped,""
Salernitana,Italy. Serie C,49rkyo4do8uwj06geomw0xr4i,Salernitana,Italy,Serie C,exact_name,100,67.9901153374,1780,auto_confirmed,""
Sambenedettese,Italy. Serie C,33sn9r28sughlsoqcr4y1ok45,Sambenedettese,Italy,Serie C,exact_name,100,61.3243551064,3527,auto_confirmed,""
San Donato Tavarnelle,Italy. Serie C,9pahogk5lu75ecgbbaaw2nq99,San Donato Tavarnelle,Italy,Serie D,exact_name,100,56.6163917439,5057,auto_confirmed,""
Sangiuliano City,Italy. Serie C,9opd9z2ntc6c338b08gijh9n8,Sangiuliano City,Italy,"",exact_name,100,56.7501425743,5008,auto_confirmed,""
Savoia,Italy. Serie C,alsgak4t9uzf9dnl8ne1t3hzx,Savoia,Italy,Serie C,exact_name,100,63.0785819345,3028,auto_confirmed,""
Scafatese,Italy. Serie C,3k5mfmth2doe3ed3qzftt7bap,Scafatese,Italy,Serie C,exact_name,100,64.3055633302,2667,auto_confirmed,""
Sestri Levante,Italy. Serie C,92zb8nbc1yccfx6rvx0zb4dly,Sestri Levante,Italy,Serie D,exact_name,100,58.2781459932,4505,auto_confirmed,""
Siena,Italy. Serie C,3prz53gq7kg2pmi8ul6xoxlas,FC Siena,Italy,Serie D,exact_name,100,60.9304970653,3649,auto_confirmed,""
Siracusa,Italy. Serie C,4kyya0h5ub12qrhqusvsivvth,Siracusa,Italy,Serie D,exact_name,100,59.9741667903,3947,auto_confirmed,""
Sorrento,Italy. Serie C,4xb8zhua74roo43ccdt8g67fc,Sorrento,Italy,Serie C,exact_name,100,64.343509023,2655,auto_confirmed,""
Spezia,Italy. Serie C,4klvxyeh3xcus4ongu7c00mgc,Spezia,Italy,Serie C,exact_name,100,68.4371747666,1700,auto_confirmed,""
Taranto,Italy. Serie C,8zna79nc8jxgw2cunm7ikqta6,Taranto,Italy,Eccellenza,exact_name,100,56.5787348253,5070,auto_confirmed,""
Team Altamura,Italy. Serie C,65z6dz8si3nfk6dr7sqio0h6,Altamura,Italy,Serie C,exact_name,100,62.1234157892,3314,auto_confirmed,""
Ternana,Italy. Serie C,e361o6jsbyqoimblxx30fcw1a,Nuova Ternana,Italy,Serie D,exact_name,100,60.8812145716,3663,auto_confirmed,""
Torres,Italy. Serie C,29q6xh66zso3vfvg1zm18zto2,Torres,Italy,Serie C,exact_name,100,64.7190592638,2529,auto_confirmed,""
Trapani,Italy. Serie C,1escq1b6jantxkzsqlfq6h2qc,Trapani 1905,Italy,Serie D,exact_name,100,56.9512773382,4947,auto_confirmed,""
Trento,Italy. Serie C,34i6pgpvcfqd4qf79tmfh6eel,Trento,Italy,Serie C,exact_name,100,67.1346329255,1964,auto_confirmed,""
Treviso,Italy. Serie C,3vq0n4j8hxixz9boqy41ifa06,Treviso,Italy,Serie C,exact_name,100,63.1158498845,3017,auto_confirmed,""
Triestina,Italy. Serie C,5vbya5ynn967sf7yvo0c4q1vy,Triestina,Italy,Serie D,exact_name,100,58.4050631705,4459,auto_confirmed,""
Turris,Italy. Serie C,bzoexcrvgv3nxutxtvq67vzjz,Turris,Italy,Serie D,exact_name,100,51.9770938118,6869,auto_confirmed,""
Union Clodiense Chioggia,Italy. Serie C,9d1743ci6pvkfk29sr3smprf7,Union Clodiense,Italy,Serie D,exact_name,100,61.8986174353,3385,auto_confirmed,""
Vado,Italy. Serie C,900qaemq4yfc6ms3d8416q3fm,Vado,Italy,Serie C,exact_name,100,62.1920105765,3291,auto_confirmed,""
Vicenza,Italy. Serie C,eyq5lo3103vpa83za6fasm0ng,Vicenza,Italy,Serie B,exact_name,100,73.9365384481,896,auto_confirmed,""
Virtus Entella,Italy. Serie C,enq2pb76jjiieq8wr73zfd0u3,Virtus Entella,Italy,Serie B,exact_name,100,74.9370401419,773,auto_confirmed,""
Virtus Francavilla,Italy. Serie C,5ufack6m4yuf0vmj6xhcfr1t5,Virtus Francavilla,Italy,Serie D,exact_name,100,59.0627629199,4228,auto_confirmed,""
Virtus Verona,Italy. Serie C,15npxcpobt3bp5zacdhj6rjc7,Virtus Verona,Italy,Serie D,exact_name,100,59.0726299813,4223,auto_confirmed,""
Vis Pesaro,Italy. Serie C,6cbdvvhdhqbp3xgcuprvzy5sb,Vis Pesaro,Italy,Serie C,exact_name,100,61.8286040042,3406,auto_confirmed,""
Viterbese,Italy. Serie C,dkj4rdchaglut1471ke317e95,Viterbese,Italy,"",exact_name,100,49.1776378999,8308,auto_confirmed,""
Albirex Niigata,Japan. J1 League,12tyw9yomy9n5cjd5po2ajx1q,Albirex Niigata,Japan,J2 League,exact_name,100,67.8753081218,1811,auto_confirmed,""
Avispa Fukuoka,Japan. J1 League,ydlnn8jofdkseegh42az3fpt,Avispa Fukuoka,Japan,J1 League,exact_name,100,74.3475691676,833,auto_confirmed,""
Cerezo Osaka,Japan. J1 League,90cc40yau7yv6n8r4xs361ofd,Cerezo Osaka,Japan,J1 League,exact_name,100,77.1474398619,558,auto_confirmed,""
Consadole Sapporo,Japan. J1 League,1f3ehp8p9yi8reamghry4p76t,Consadole Sapporo,Japan,J2 League,exact_name,100,65.1625327008,2433,auto_confirmed,""
Fagiano Okayama,Japan. J1 League,4rddupwnkxxcwou6iluymj29j,Fagiano Okayama,Japan,J1 League,exact_name,100,76.4759193989,615,auto_confirmed,""
Gamba Osaka,Japan. J1 League,92br3632xgmc25jvr0jesfvl6,Gamba Osaka,Japan,J1 League,exact_name,100,76.1025323153,649,auto_confirmed,""
JEF United,Japan. J1 League,29cmppm4tntuasdgyxjpck882,JEF United,Japan,J1 League,exact_name,100,72.9777667124,1022,auto_confirmed,""
Júbilo Iwata,Japan. J1 League,4hm0p4fs807r60m5cumrdn6w5,Júbilo Iwata,Japan,J2 League,exact_name,100,68.2529705019,1735,auto_confirmed,""
Kashima Antlers,Japan. J1 League,9s2g5k3dlmfii452t8edaeozh,Kashima Antlers,Japan,J1 League,exact_name,100,80.6851073961,293,auto_confirmed,""
Kashiwa Reysol,Japan. J1 League,3lyo0vqgndy4fuzlfo5l9ql30,Kashiwa Reysol,Japan,J1 League,exact_name,100,80.1188853576,330,auto_confirmed,""
Kawasaki Frontale,Japan. J1 League,5pol481515zvirmk6t00kerbc,Kawasaki Frontale,Japan,J1 League,exact_name,100,78.328314126,452,auto_confirmed,""
Kyoto Sanga,Japan. J1 League,6bus1cl4b6zdm93290r02o7cx,Kyoto Sanga,Japan,J1 League,exact_name,100,75.9009680042,665,auto_confirmed,""
Machida Zelvia,Japan. J1 League,c893rjzz7makmez86fze25a2e,Machida Zelvia,Japan,J1 League,exact_name,100,81.0553096483,278,auto_confirmed,""
Mito Hollyhock,Japan. J1 League,7xcx4olkp9vjsquxsrf2s3iba,Mito Hollyhock,Japan,J1 League,exact_name,100,74.4185359145,824,auto_confirmed,""
Nagoya Grampus,Japan. J1 League,18c8ibslzapz40lfb8y5vygcs,Nagoya Grampus,Japan,J1 League,exact_name,100,75.0896338414,763,auto_confirmed,""
Sagan Tosu,Japan. J1 League,27o8mdqno6jslcjb709sxjwyy,Sagan Tosu,Japan,J2 League,exact_name,100,67.5452761971,1871,auto_confirmed,""
Sanfrecce Hiroshima,Japan. J1 League,89wr6p2dkh7wjxtbwhtsruu02,Sanfrecce Hiroshima,Japan,J1 League,exact_name,100,82.7260823927,187,auto_confirmed,""
Shimizu S-Pulse,Japan. J1 League,a1escgblmveduau3j1st0lbxn,Shimizu S-Pulse,Japan,J1 League,exact_name,100,74.3916177671,828,auto_confirmed,""
Shonan Bellmare,Japan. J1 League,83d6z6wvkzs3dx9oy3mftixow,Shonan Bellmare,Japan,J2 League,exact_name,100,68.0180358532,1774,auto_confirmed,""
Tokyo,Japan. J1 League,e90fnsgtnamze3yssxpg392eb,Tokyo,Japan,J1 League,exact_name,100,79.9141889726,337,auto_confirmed,""
Tokyo Verdy,Japan. J1 League,6u7ltoz339il087ubf6rdtc2v,Tokyo Verdy,Japan,J1 League,exact_name,100,73.2401149375,976,auto_confirmed,""
Urawa Reds,Japan. J1 League,3vfso415vj7uitnunviuzdyg3,Urawa Reds,Japan,J1 League,exact_name,100,77.5136709379,528,auto_confirmed,""
V-Varen Nagasaki,Japan. J1 League,8o5yuhx32ra276o71dmwizq2d,V-Varen Nagasaki,Japan,J1 League,exact_name,100,74.3356828839,837,auto_confirmed,""
Vissel Kobe,Japan. J1 League,bbt5nqwufsne7r0zfa6pvpmfa,Vissel Kobe,Japan,J1 League,exact_name,100,81.1393117123,273,auto_confirmed,""
Yokohama,Japan. J1 League,ctm9as17rs95yhuz7qf53wfke,Yokohama,Japan,J2 League,exact_name,100,69.7884783784,1451,auto_confirmed,""
Yokohama F. Marinos,Japan. J1 League,2cwez3hk2i75ope3qyu54cqh1,Yokohama F. Marinos,Japan,J1 League,exact_name,100,78.2752699649,459,auto_confirmed,""
Albirex Niigata,Japan. J2 League,12tyw9yomy9n5cjd5po2ajx1q,Albirex Niigata,Japan,J2 League,exact_name,100,67.8753081218,1811,auto_confirmed,""
Blaublitz Akita,Japan. J2 League,e7oi5pollofadw2silxqfy3va,Blaublitz Akita,Japan,J2 League,exact_name,100,66.1319224289,2202,auto_confirmed,""
Consadole Sapporo,Japan. J2 League,1f3ehp8p9yi8reamghry4p76t,Consadole Sapporo,Japan,J2 League,exact_name,100,65.1625327008,2433,auto_confirmed,""
Ehime,Japan. J2 League,40w6f4f8320xm9w0pphdr1ff,Ehime,Japan,J3 League,exact_name,100,65.3325015186,2387,auto_confirmed,""
Fagiano Okayama,Japan. J2 League,4rddupwnkxxcwou6iluymj29j,Fagiano Okayama,Japan,J1 League,exact_name,100,76.4759193989,615,auto_confirmed,""
Fujieda MYFC,Japan. J2 League,5o3cnx2qsla03c0n6m3175gfp,Fujieda MYFC,Japan,J2 League,exact_name,100,65.9778222445,2235,auto_confirmed,""
Grulla Morioka,Japan. J2 League,gicutp8uz76wdyr4gtl39eny,Grulla Morioka,Japan,Japan Football League,exact_name,100,52.5503039917,6595,auto_confirmed,""
Imabari,Japan. J2 League,48pguz8h8nahrq8h5osz4uift,Imabari,Japan,J2 League,exact_name,100,64.4224265477,2631,auto_confirmed,""
Iwaki,Japan. J2 League,cimycfmamkmp6cbkn70opnnqh,Iwaki,Japan,J2 League,exact_name,100,67.6312091058,1852,auto_confirmed,""
JEF United,Japan. J2 League,29cmppm4tntuasdgyxjpck882,JEF United,Japan,J1 League,exact_name,100,72.9777667124,1022,auto_confirmed,""
Júbilo Iwata,Japan. J2 League,4hm0p4fs807r60m5cumrdn6w5,Júbilo Iwata,Japan,J2 League,exact_name,100,68.2529705019,1735,auto_confirmed,""
Kagoshima United,Japan. J2 League,41z024syj3mi4jpyjj68k4ptx,Kagoshima United,Japan,J3 League,exact_name,100,67.8995059368,1804,auto_confirmed,""
Kataller Toyama,Japan. J2 League,dtjpkopknilpytvcelspishu4,Kataller Toyama,Japan,J2 League,exact_name,100,67.834977767,1818,auto_confirmed,""
Machida Zelvia,Japan. J2 League,c893rjzz7makmez86fze25a2e,Machida Zelvia,Japan,J1 League,exact_name,100,81.0553096483,278,auto_confirmed,""
Mito Hollyhock,Japan. J2 League,7xcx4olkp9vjsquxsrf2s3iba,Mito Hollyhock,Japan,J1 League,exact_name,100,74.4185359145,824,auto_confirmed,""
Montedio Yamagata,Japan. J2 League,1nm96lsa5dm33vbu2jy56i9fk,Montedio Yamagata,Japan,J2 League,exact_name,100,66.4386816708,2128,auto_confirmed,""
Oita Trinita,Japan. J2 League,rapx5gn6sbem92ad0sditvo5,Oita Trinita,Japan,J2 League,exact_name,100,64.2745105261,2678,auto_confirmed,""
Omiya Ardija,Japan. J2 League,64szr28vw5kyi2ikzvwd4qvnc,Omiya Ardija,Japan,J2 League,exact_name,100,69.3490810688,1518,auto_confirmed,""
RB Omiya Ardija,Japan. J2 League,64szr28vw5kyi2ikzvwd4qvnc,Omiya Ardija,Japan,J2 League,exact_name,100,69.3490810688,1518,auto_confirmed,""
Renofa Yamaguchi,Japan. J2 League,9tg3wf68h52pvuvo3h7i8g4t2,Renofa Yamaguchi,Japan,J3 League,exact_name,100,65.3303945611,2389,auto_confirmed,""
Roasso Kumamoto,Japan. J2 League,11jr1481luf8k5nogcvfabv8q,Roasso Kumamoto,Japan,J3 League,exact_name,100,63.9153872069,2791,auto_confirmed,""
Ryūkyū,Japan. J2 League,7zrnrs7x43ipdkr1f86pxikoc,Ryūkyū,Japan,J3 League,exact_name,100,60.3522621305,3822,auto_confirmed,""
Sagan Tosu,Japan. J2 League,27o8mdqno6jslcjb709sxjwyy,Sagan Tosu,Japan,J2 League,exact_name,100,67.5452761971,1871,auto_confirmed,""
Shimizu S-Pulse,Japan. J2 League,a1escgblmveduau3j1st0lbxn,Shimizu S-Pulse,Japan,J1 League,exact_name,100,74.3916177671,828,auto_confirmed,""
Shonan Bellmare,Japan. J2 League,83d6z6wvkzs3dx9oy3mftixow,Shonan Bellmare,Japan,J2 League,exact_name,100,68.0180358532,1774,auto_confirmed,""
Tegevajaro Miyazaki,Japan. J2 League,3glkqxhg02onhp9rtqpsovkoa,Tegevajaro Miyazaki,Japan,J2 League,exact_name,100,66.4113069861,2136,auto_confirmed,""
Thespa Gunma,Japan. J2 League,drhhxs1s3wrvoy0bzjg290gk,Thespa Gunma,Japan,J3 League,exact_name,100,60.8085625958,3688,auto_confirmed,""
ThespaKusatsu Gunma,Japan. J2 League,"","","","",unmapped,,,,unmapped,""
Tochigi,Japan. J2 League,byhqckd1xpeufiltl0pjkfptz,Tochigi,Japan,J3 League,exact_name,100,63.8011699052,2834,auto_confirmed,""
Tochigi City,Japan. J2 League,1zi7f852mrohymv3votysk6lm,Tochigi City,Japan,J2 League,exact_name,100,66.4814977017,2118,auto_confirmed,""
Tochigi SC,Japan. J2 League,byhqckd1xpeufiltl0pjkfptz,Tochigi,Japan,J3 League,exact_name,100,63.8011699052,2834,auto_confirmed,""
Tokushima Vortis,Japan. J2 League,6dq0duhp2l658aa8qiezr4fgf,Tokushima Vortis,Japan,J2 League,exact_name,100,67.6375223949,1849,auto_confirmed,""
Tokyo Verdy,Japan. J2 League,6u7ltoz339il087ubf6rdtc2v,Tokyo Verdy,Japan,J1 League,exact_name,100,73.2401149375,976,auto_confirmed,""
V-Varen Nagasaki,Japan. J2 League,8o5yuhx32ra276o71dmwizq2d,V-Varen Nagasaki,Japan,J1 League,exact_name,100,74.3356828839,837,auto_confirmed,""
Vanraure Hachinohe,Japan. J2 League,f0sc3k6yd87tr2mad8isxh34s,Vanraure Hachinohe,Japan,J2 League,exact_name,100,62.894206807,3087,auto_confirmed,""
Vegalta Sendai,Japan. J2 League,d56o9d2908hm2482deln4t9yi,Vegalta Sendai,Japan,J2 League,exact_name,100,70.2953836114,1362,auto_confirmed,""
Ventforet Kofu,Japan. J2 League,6q120enombus8oq9gfxvdvggq,Ventforet Kofu,Japan,J2 League,exact_name,100,64.5127162754,2596,auto_confirmed,""
Yokohama,Japan. J2 League,ctm9as17rs95yhuz7qf53wfke,Yokohama,Japan,J2 League,exact_name,100,69.7884783784,1451,auto_confirmed,""
Zweigen Kanazawa,Japan. J2 League,6eafkwa8gyra2lmnn1855986d,Zweigen Kanazawa,Japan,J3 League,exact_name,100,63.3097785414,2969,auto_confirmed,""
Al Ahli,Jordan. Pro League,95nfgrmm47wrf6casnmllrhlm,Al Ahli,Jordan,1st Division,exact_name,100,56.6065798644,5061,auto_confirmed,""
Al Buqa'a,Jordan. Pro League,b2ulc9myzi352coskhw85vwyr,Al Buqa'a,Jordan,League,exact_name,100,62.4790944715,3191,auto_confirmed,""
Al Faisaly,Jordan. Pro League,7x9ymrgnlkmi23ikqzapqc2iq,Al Faisaly,Jordan,League,exact_name,100,74.2012857309,854,auto_confirmed,""
Al Hussein,Jordan. Pro League,ef1r1g3j2rbnim6wy08qu12hh,Al Hussein,Jordan,League,exact_name,100,72.1305368101,1123,auto_confirmed,""
Al Jalil,Jordan. Pro League,"","","","",unmapped,,,,unmapped,""
Al Jazeera,Jordan. Pro League,3x5y02bd9lg3yntitu58953y0,Al Jazeera,Jordan,League,exact_name,100,65.0570242044,2461,auto_confirmed,""
Al Ramtha,Jordan. Pro League,1itxnsh6n2y4w41per9v7uovc,Al Ramtha,Jordan,League,exact_name,100,68.4670445577,1695,auto_confirmed,""
Al Salt,Jordan. Pro League,8u2wvlnw6mm3qol9qkw4km9vj,Al Salt,Jordan,League,exact_name,100,66.266557899,2170,auto_confirmed,""
Al Sareeh,Jordan. Pro League,2332huygk064vawrztpsfilsk,Al Sareeh,Jordan,1st Division,exact_name,100,55.3122460276,5502,auto_confirmed,""
Al Wehdat,Jordan. Pro League,ewm3f6up0mv2tlos648xaeg1h,Al Wehdat,Jordan,League,exact_name,100,72.0591437757,1132,auto_confirmed,""
Ma'an,Jordan. Pro League,d076ti7khfqjchxqge588kiga,Ma'an,Jordan,1st Division,exact_name,100,56.0361576228,5246,auto_confirmed,""
Moghayer Al Sarhan,Jordan. Pro League,c7nvq8y7dlgut3c1ucddnqn3e,Moghayer Al Sarhan,Jordan,"",exact_name,100,45.6310620584,9939,auto_confirmed,""
Sahab,Jordan. Pro League,"","","","",unmapped,,,,unmapped,""
Sama Al Sarhan,Jordan. Pro League,1av0bfqhm0p02tc7wrr8n6qq6,Sama Al Sarhan,Jordan,1st Division,exact_name,100,55.6703588236,5371,auto_confirmed,""
Shabab Al Ordon,Jordan. Pro League,8d4x58hp6xt8xbakafofzm968,Shabab Al Ordon,Jordan,League,exact_name,100,63.8952074689,2803,auto_confirmed,""
Shabab Al-Aqaba,Jordan. Pro League,3gwpo7ize6cvnqas15fkzgell,Shabab Al-Aqaba,Jordan,1st Division,exact_name,100,52.9212948717,6429,auto_confirmed,""
Aktobe,Kazakhstan. Premier League,cfzisyjd68ij8s4zjgj79z7sx,Aktobe,Kazakhstan,Premier League,exact_name,100,71.6299649063,1191,auto_confirmed,""
Akzhayik,Kazakhstan. Premier League,"","","","",unmapped,,,,unmapped,""
Altay,Kazakhstan. Premier League,9saqtl9uwzct93khvio8m4tz0,Altay,Kazakhstan,Premier League,exact_name,100,65.6212658582,2317,auto_confirmed,""
Astana,Kazakhstan. Premier League,8hluxv5afo5yejrtl36naq9uv,Astana,Kazakhstan,Premier League,exact_name,100,75.4437575739,715,auto_confirmed,""
Atyrau,Kazakhstan. Premier League,1yvymr5awoxvbeaeb3osv3q2n,Atyrau,Kazakhstan,Premier League,exact_name,100,65.7662669404,2283,auto_confirmed,""
Caspiy,Kazakhstan. Premier League,"","","","",unmapped,,,,unmapped,""
FK Aksu,Kazakhstan. Premier League,"","","","",unmapped,,,,unmapped,""
Irtysh,Kazakhstan. Premier League,"","","","",unmapped,,,,unmapped,""
Kairat,Kazakhstan. Premier League,6j2gnvqgprscy600ex68i5ynf,Kairat,Kazakhstan,Premier League,exact_name,100,77.1775994406,556,auto_confirmed,""
Kaisar,Kazakhstan. Premier League,dylyv84fm75boynxo945venz3,Kaisar Kyzylorda,Kazakhstan,Premier League,exact_name,100,66.3198376063,2157,auto_confirmed,""
Kyzyl-Zhar,Kazakhstan. Premier League,77nbedlxmqb5fejxqni5wq6zj,Kyzyl-Zhar,Kazakhstan,Premier League,exact_name,100,66.6907841642,2068,auto_confirmed,""
Maqtaaral,Kazakhstan. Premier League,"","","","",unmapped,,,,unmapped,""
Okzhetpes,Kazakhstan. Premier League,322qvzahyuuq6xyoo6p2qcrbr,Okzhetpes,Kazakhstan,Premier League,exact_name,100,70.4054988076,1345,auto_confirmed,""
