scrape_enabled,competition_name,competition_country,tm_competition_id,tm_competition_name,tm_country,tm_season_id,wyscout_clubs,mapped_tm_clubs,mapped_tm_club_rate,difficulty,intensity,mapping_status,mapping_methods
False,Republic of Ireland. Premier Division,Republic of Ireland,,,Republic of Ireland,,10,9,0.9,6.581,6.581,needs_transfermarkt_competition_id,dict|dict_unmatched
False,Türkiye. 1. Lig,Türkiye,,,Türkiye,,20,18,0.9,6.158,6.158,needs_transfermarkt_competition_id,dict|dict_unmatched
False,Peru. Primera División,Peru,,,Peru,,19,17,0.8947,6.842,6.842,needs_transfermarkt_competition_id,dict|dict_unmatched
False,Germany. 2. Bundesliga,Germany,,,Germany,,18,16,0.8889,7.468,7.468,needs_transfermarkt_competition_id,dict|dict_unmatched
False,Poland. Ekstraklasa,Poland,,,Poland,,18,16,0.8889,,,needs_transfermarkt_competition_id,dict|dict_unmatched
False,Saudi Arabia. Pro League,Saudi Arabia,,,Saudi Arabia,,18,16,0.8889,7.182,7.182,needs_transfermarkt_competition_id,dict|dict_unmatched
False,Belgium. Challenger Pro League,Belgium,,,Belgium,,17,15,0.8824,6.394,6.394,needs_transfermarkt_competition_id,dict|dict_unmatched
False,Ukraine. VBET League,Ukraine,,,Ukraine,,17,15,0.8824,6.768,6.768,needs_transfermarkt_competition_id,dict|dict_unmatched
False,Austria. 2. Liga,Austria,,,Austria,,16,14,0.875,6.12,6.12,needs_transfermarkt_competition_id,dict|dict_unmatched
False,Bolivia. LFPB,Bolivia,,,Bolivia,,16,14,0.875,6.992,6.992,needs_transfermarkt_competition_id,dict|dict_unmatched
False,Bulgaria. First League,Bulgaria,,,Bulgaria,,16,14,0.875,6.276,6.276,needs_transfermarkt_competition_id,dict|dict_unmatched
False,Romania. Superliga,Romania,,,Romania,,16,14,0.875,7.032,7.032,needs_transfermarkt_competition_id,dict|dict_unmatched
False,Serbia. Super Liga,Serbia,,,Serbia,,16,14,0.875,6.532,6.532,needs_transfermarkt_competition_id,dict|dict_unmatched
False,Europe. UEFA Europa Conference League,Europe,,,Europe,,36,31,0.8611,7.513,7.513,needs_transfermarkt_competition_id,dict|dict_unmatched
False,Kazakhstan. Premier League,Kazakhstan,,,Kazakhstan,,14,12,0.8571,6.283,6.283,needs_transfermarkt_competition_id,dict|dict_unmatched
False,Korea Republic. K League 1,Korea Republic,,,Korea Republic,,12,10,0.8333,7.198,7.198,needs_transfermarkt_competition_id,dict|dict_unmatched
False,Morocco. Botola Pro,Morocco,,,Morocco,,16,13,0.8125,7.226,7.226,needs_transfermarkt_competition_id,dict|dict_unmatched
False,Russia. Premier League,Russia,,,Russia,,16,13,0.8125,7.351,7.351,needs_transfermarkt_competition_id,dict|dict_unmatched
False,Uzbekistan. Super League,Uzbekistan,,,Uzbekistan,,16,13,0.8125,6.357,6.357,needs_transfermarkt_competition_id,dict|dict_unmatched
False,Cyprus. 1. Division,Cyprus,,,Cyprus,,14,11,0.7857,7.064,7.064,needs_transfermarkt_competition_id,dict|dict_unmatched
False,Egypt. Premier League,Egypt,,,Egypt,,21,16,0.7619,7.086,7.086,needs_transfermarkt_competition_id,dict|dict_unmatched
False,Poland. I Liga,Poland,,,Poland,,18,13,0.7222,6.293,6.293,needs_transfermarkt_competition_id,dict|dict_unmatched
False,Greece. Stoiximan Super League,Greece,,,Greece,,14,10,0.7143,7.273,7.273,needs_transfermarkt_competition_id,dict|dict_unmatched
False,China PR. China League One,China PR,,,China PR,,16,11,0.6875,4.546,4.546,needs_transfermarkt_competition_id,dict|dict_unmatched
False,Brazil. Serie C,Brazil,,,Brazil,,20,12,0.6,6.474,6.474,needs_transfermarkt_competition_id,dict|dict_unmatched
False,Ukraine. Druha Liga,Ukraine,,,Ukraine,,22,8,0.3636,4.507,4.507,needs_transfermarkt_competition_id,dict|dict_unmatched
False,Greece. Super League 2,Greece,,,Greece,,20,7,0.35,5.755,5.755,needs_transfermarkt_competition_id,dict|dict_unmatched
False,Slovakia. 2. liga,Slovakia,,,Slovakia,,16,5,0.3125,5.732,5.732,needs_transfermarkt_competition_id,dict|dict_unmatched
False,Nigeria. Creative Championship,Nigeria,,,Nigeria,,12,3,0.25,5.159,5.159,needs_transfermarkt_competition_id,dict|dict_unmatched
False,Portugal. Liga 3,Portugal,,,Portugal,,20,5,0.25,6.174,6.174,needs_transfermarkt_competition_id,dict|dict_unmatched
False,England. League One,England,,,England,,24,4,0.1667,7.162,7.162,needs_transfermarkt_competition_id,dict|dict_unmatched
False,Italy. Serie C,Italy,,,Italy,,60,10,0.1667,6.253,6.253,needs_transfermarkt_competition_id,dict|dict_unmatched
False,Romania. Liga II,Romania,,,Romania,,22,3,0.1364,5.884,5.884,needs_transfermarkt_competition_id,dict|dict_unmatched
False,Netherlands. Derde Divisie,Netherlands,,,Netherlands,,17,2,0.1176,4.437,4.437,needs_transfermarkt_competition_id,dict|dict_unmatched|no_mapping
False,Saudi Arabia. Division 1,Saudi Arabia,,,Saudi Arabia,,18,2,0.1111,6.022,6.022,needs_transfermarkt_competition_id,dict|dict_unmatched
False,Azerbaijan. Birinci Dasta,Azerbaijan,,,Azerbaijan,,10,1,0.1,5.013,5.013,needs_transfermarkt_competition_id,dict|dict_unmatched
False,England. League Two,England,,,England,,24,2,0.0833,6.587,6.587,needs_transfermarkt_competition_id,dict|dict_unmatched
False,Türkiye. 2. Lig,Türkiye,,,Türkiye,,15,1,0.0667,5.317,5.317,needs_transfermarkt_competition_id,dict|dict_unmatched|no_mapping
False,Canada. Canadian Premier League,Canada,,,Canada,,8,0,0.0,,,needs_transfermarkt_competition_id,no_mapping
False,Chile. Primera División,Chile,,,Chile,,16,0,0.0,,,needs_transfermarkt_competition_id,no_mapping
False,China. CSL,China,,,China,,9,0,0.0,,,needs_transfermarkt_competition_id,no_mapping
