competition_name,competition_country,team,tm_club_id,tm_club_name,method,score,tm_scraped_players,scrape_status
Azerbaijan. Premyer Liqa,Azerbaijan,Qarabag,10625,Qarabağ,dict,100,26,scraped
Azerbaijan. Premyer Liqa,Azerbaijan,Sabah,63993,Sabah FK,dict,100,26,scraped
Azerbaijan. Premyer Liqa,Azerbaijan,Shamakhi FK,8956,Shamakhi,dict,100,24,scraped
Azerbaijan. Premyer Liqa,Azerbaijan,Sumqayıt,,,dict_unmatched,0,0,dict_unmatched
Azerbaijan. Premyer Liqa,Azerbaijan,Turan-T,77711,FC Turan,dict,100,42,scraped
Azerbaijan. Premyer Liqa,Azerbaijan,Zira,46710,Zira FC,dict,100,25,scraped
Azerbaijan. Premyer Liqa,Azerbaijan,İmişli,103512,Imishli,dict,100,25,scraped
Belgium. Challenger Pro League,Belgium,Anderlecht II,58,RSC Anderlecht,dict,100,32,scraped
Belgium. Challenger Pro League,Belgium,Beerschot VA,41274,Beerschot VA,dict,100,27,scraped
Belgium. Challenger Pro League,Belgium,Club Brugge II,2282,Club Brugge,dict,100,27,scraped
Belgium. Challenger Pro League,Belgium,Eupen,1245,KAS Eupen,dict,100,29,scraped
Belgium. Challenger Pro League,Belgium,Francs Borains,2974,Francs Borains,dict,100,28,scraped
Belgium. Challenger Pro League,Belgium,Genk II,1184,Genk,dict,100,30,scraped
Belgium. Challenger Pro League,Belgium,Gent II,,,dict_unmatched,0,0,dict_unmatched
Belgium. Challenger Pro League,Belgium,Kortrijk,601,KV Kortrijk,dict,100,29,scraped
Belgium. Challenger Pro League,Belgium,Lierse Kempenzonen,28107,Lierse SK,dict,100,29,scraped
Belgium. Challenger Pro League,Belgium,Liège,3057,Standard Liège,dict,100,27,scraped
Belgium. Challenger Pro League,Belgium,Lokeren-Temse,,,dict_unmatched,0,0,dict_unmatched
Belgium. Challenger Pro League,Belgium,Lommel SK,5026,Lommel SK,dict,100,28,scraped
Belgium. Challenger Pro League,Belgium,Olympic Charleroi,3146,Olym. Charleroi,dict,100,26,scraped
Belgium. Challenger Pro League,Belgium,Patro Eisden,3225,Patro Eisden,dict,100,25,scraped
Belgium. Challenger Pro League,Belgium,RFC Seraing,2715,RFC Seraing,dict,100,24,scraped
Belgium. Challenger Pro League,Belgium,RWD Molenbeek,9010,FCV Dender EH,dict,100,23,scraped
Belgium. Challenger Pro League,Belgium,SK Beveren,28643,SK Beveren,dict,100,27,scraped
Belgium. Pro League,Belgium,Anderlecht,58,RSC Anderlecht,dict,100,32,scraped
Belgium. Pro League,Belgium,Antwerp,1096,Royal Antwerp,dict,100,29,scraped
Belgium. Pro League,Belgium,Cercle Brugge,520,Cercle Brugge,dict,100,26,scraped
Belgium. Pro League,Belgium,Charleroi,3146,Olym. Charleroi,dict,100,26,scraped
Belgium. Pro League,Belgium,Club Brugge,2282,Club Brugge,dict,100,27,scraped
Belgium. Pro League,Belgium,Dender,9010,FCV Dender EH,dict,100,23,scraped
Belgium. Pro League,Belgium,Genk,1184,Genk,dict,100,30,scraped
Belgium. Pro League,Belgium,Gent,157,KAA Gent,dict,100,33,scraped
Belgium. Pro League,Belgium,La Louvière,3901,La Louvière,dict,100,29,scraped
Belgium. Pro League,Belgium,Mechelen,354,KV Mechelen,dict,100,32,scraped
Belgium. Pro League,Belgium,OH Leuven,2727,OH Leuven,dict,100,33,scraped
Belgium. Pro League,Belgium,Sint-Truiden,475,Sint-Truiden,dict,100,27,scraped
Belgium. Pro League,Belgium,Standard Liège,3057,Standard Liège,dict,100,27,scraped
Belgium. Pro League,Belgium,Union Saint-Gilloise,3948,Union SG,dict,100,27,scraped
Belgium. Pro League,Belgium,Westerlo,968,KVC Westerlo,dict,100,33,scraped
Belgium. Pro League,Belgium,Zulte-Waregem,3508,Zulte Waregem,dict,100,27,scraped
